2024.06.10-01:08:28 | Из папки input начинаем перенос 0 файлов в папку archive
2024.06.10-01:08:28 | Закончен перенос 0 файлов из папки input в папку archive, успешно 0, провалено 0
2024.06.10-01:08:28 | Обновляем текстовую базу данных
2024.06.10-01:08:28 | Обновление базы успешно
2024.06.10-01:08:30 | В папке: src\crs\resources\input найдено 0 файлов формата txt
2024.06.10-01:08:30 | Начата вычитка 0 файлов
2024.06.10-01:08:30 | Завершена вычитка 0 файлов, успешно 0, провалено 0
2024.06.10-01:08:30 | Из папки input начинаем перенос 0 файлов в папку archive
2024.06.10-01:08:30 | Закончен перенос 0 файлов из папки input в папку archive, успешно 0, провалено 0
2024.06.10-01:08:30 | Обновляем текстовую базу данных
2024.06.10-01:08:30 | Обновление базы успешно
2024.06.10-01:13:16 | Вычитывает текстовую базу данных
2024.06.10-01:13:16 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.10-01:13:23 | В папке: src\crs\resources\input найдено 4 файлов формата txt
2024.06.10-01:13:23 | Начата вычитка 4 файлов
2024.06.10-01:13:23 | Успешно прочитан файл: src\crs\resources\input\inFile10.txt
2024.06.10-01:13:23 | Успешно прочитан файл: src\crs\resources\input\inFile11.txt
2024.06.10-01:13:23 | Успешно прочитан файл: src\crs\resources\input\inFile12.txt
2024.06.10-01:13:23 | Успешно прочитан файл: src\crs\resources\input\inFile13.txt
2024.06.10-01:13:23 | Завершена вычитка 4 файлов, успешно 4, провалено 0
2024.06.10-01:13:23 | Из папки input начинаем перенос 4 файлов в папку archive
2024.06.10-01:13:23 | Файл inFile10.txt перемещен в src\crs\resources\archive
2024.06.10-01:13:23 | Файл inFile11.txt перемещен в src\crs\resources\archive
2024.06.10-01:13:23 | Файл inFile12.txt перемещен в src\crs\resources\archive
2024.06.10-01:13:23 | Файл inFile13.txt перемещен в src\crs\resources\archive
2024.06.10-01:13:23 | Закончен перенос 4 файлов из папки input в папку archive, успешно 4, провалено 0
2024.06.10-01:13:23 | Обновляем текстовую базу данных
2024.06.10-01:13:23 | Обновление базы успешно
